product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/abros-angel-3-running-shoes-women/p/itmbcb1b0acbc75d?pid=SHOGY76WTXQMGZGU&lid=LSTSHOGY76WTXQMGZGUTROWQV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvO7q3_6iOGhV7j7E_kt9ZMdg4WoQ6rW2iZrdMYWIeNXNJ2-SIbIDZ6lLvgRS75Tj4w%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Abros ANGEL-3 Running Shoes For Women,Abros,616,7.64,4.1,1262
https://www.flipkart.com/campus-siren-women-s-sports-shoes-integrated-nitrofly-technology-mesh-upper-lace-up-running-women/p/itmdefeca73bfbf3?pid=SHOHFS58KZNHYEVH&lid=LSTSHOHFS58KZNHYEVH4J7ZN0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHFS58KZNHYEVH.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,CAMPUS SIREN Women's Sports Shoes | Integrated NitroFly Technolog...more,CAMPUS,899,5.24,4.4,7410
https://www.flipkart.com/asian-firefly-08-navy-gym-sports-walking-training-stylish-running-shoes-women/p/itmea6ceb2f73aa7?pid=SHOGN8ZBZQWE5MYR&lid=LSTSHOGN8ZBZQWE5MYROKOCOR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGN8ZBZQWE5MYR.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"asian Firefly-08 Navy Gym,Sports,Walking,Training,Stylish Running...more",asian,766,8.74,4.1,26869
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm68ab71f052daf?pid=SHOGH3Y2FRQRSVRS&lid=LSTSHOGH3Y2FRQRSVRS90ZBAH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_FkPickId_osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGH3Y2FRQRSVRS.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,294,0.07,4,158069
https://www.flipkart.com/action-athleo-kia-208-comfortable-trendy-lightweight-durable-sports-lace-up-running-shoes-women/p/itm1c11b076083e6?pid=SHOHFXFMZGEHCR9G&lid=LSTSHOHFXFMZGEHCR9GBVKMVM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvNRy7brXDlzYexKTfnM78Rb7T_CChY8_ib0pLga4sgz3q1KaJFgl7OeEdnchgqx4tA%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,ACTION Athleo KIA-208 Comfortable Trendy Lightweight Durable Spor...more,ACTION,842,6.74,3.9,162
https://www.flipkart.com/jqr-starjoy-running-shoes-women/p/itm4b081064d3f9f?pid=SHOHKXXHUTCU6UUN&lid=LSTSHOHKXXHUTCU6UUNZS2BCH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvN1q-HKzmxaecfFn71NuEtwM4nn-43_aXD0jyb45xDhLPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,JQR STARJOY Running Shoes For Women,JQR,839,6.55,5,3
https://www.flipkart.com/asian-firefly-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGGAUAXRZHZG9&lid=LSTSHOGGGAUAXRZHZG9QD2N86&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGGGAUAXRZHZG9.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"asian Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylis...more",asian,870,5.43,4.1,26869
https://www.flipkart.com/fabbmate-trendy-sports-walking-memory-foam-running-shoes-women/p/itm0d0338973c591?pid=SHOGKV8P7RCHGYW7&lid=LSTSHOGKV8P7RCHGYW7QE0170&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGKV8P7RCHGYW7.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Fabbmate Trendy Sports Walking with Memory Foam Running Shoes For...more,Fabbmate,317,0.07,4,158069
https://www.flipkart.com/jqr-benny-running-shoes-women/p/itme84bc33a836b1?pid=SHOHKTGFCTHJV2YV&lid=LSTSHOHKTGFCTHJV2YV6MICYC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvNb-FNwtYUny1Jkoli0Fama9FTW2OGzrRGJ5QlUr6M5fvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,JQR BENNY Running Shoes For Women,JQR,1119,8.5,4,
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHEB3NFT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvP2zngMpL1ee00SYOCzF0zUidwznJ0SK07uAf-YXBCrs5xkhLmIBDS3Pr7Nxtl3saw%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"asian Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running...more",asian,847,6.36,4.2,108873
https://www.flipkart.com/liberty-boster-l2e-sports-slip-on-knitted-upper-eva-sole-comfortable-walking-shoes-women/p/itm010f45b5bfb8a?pid=SHOGYRFMAQAUPRGH&lid=LSTSHOGYRFMAQAUPRGHWPHZN9&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGYRFMAQAUPRGH.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,LIBERTY BOSTER-L2E Sports Slip-on With Knitted Upper & EVA Sole |...more,LIBERTY,737,6.3,4.2,2764
https://www.flipkart.com/skechers-summits-sneakers-women/p/itm3d1c535415103?pid=SHOGQTKZGGFZFVDH&lid=LSTSHOGQTKZGGFZFVDHVSJS6Q&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGQTKZGGFZFVDH.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Skechers SUMMITS Sneakers For Women,Skechers,1898,5.52,4.4,484
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QZ2C5FG5T&lid=LSTSHOEEF3QZ2C5FG5TKXFYMM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_36&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOEEF3QZ2C5FG5T.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,asian Cute sports shoes for women | Running shoes for girls styli...more,asian,807,5.43,4.2,108873
https://www.flipkart.com/action-athleo-kia-202-comfortable-trendy-lightweight-durable-sports-lace-up-running-shoes-women/p/itmf93f259db96be?pid=SHOGSWWUCQEDCN2N&lid=LSTSHOGSWWUCQEDCN2NJPKZBC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_37&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvOu4ckw9lXvSCjvWoXzb3p35Fx1A0xYOOvrGzJn1zpsyPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,ACTION Athleo KIA-202 Comfortable Trendy Lightweight Durable Spor...more,ACTION,1099,7.5,4.2,92
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm52bea2c9396b6?pid=SHOGZEZXFSDZAM9R&lid=LSTSHOGZEZXFSDZAM9R7J5K7T&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_39&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGZEZXFSDZAM9R.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,275,0.07,4,158069
https://www.flipkart.com/abros-angel-3-running-shoes-women/p/itmbcb1b0acbc75d?pid=SHOGY76WTXQMGZGU&marketplace=FLIPKART&ov_redirect=true,Abros ANGEL-3 Running Shoes For Women,Abros,616,6.64,4.1,1262
https://www.flipkart.com/jqr-starjoy-running-shoes-women/p/itm4b081064d3f9f?pid=SHOHKXXHUTCU6UUN&marketplace=FLIPKART&ov_redirect=true,JQR STARJOY Running Shoes For Women,JQR,839,7.6,5,3
https://www.flipkart.com/campus-siren-women-s-sports-shoes-integrated-nitrofly-technology-mesh-upper-lace-up-running-women/p/itmdefeca73bfbf3?pid=SHOHFS58KZNHYEVH&marketplace=FLIPKART&ov_redirect=true,CAMPUS SIREN Women's Sports Shoes | Integrated NitroFly Technolog...more,CAMPUS,899,5.3,4.4,7410
https://www.flipkart.com/asian-firefly-04-black-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itmd603f4163d441?pid=SHOGGG7EDZVGCX28&lid=LSTSHOGGG7EDZVGCX28JCO43R&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=6d6de709-55a6-41bc-9eb4-9ecde169ed9e.SHOGGG7EDZVGCX28.SEARCH&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"asian Firefly-04 Black Sports,Gym,Jogging,Walking,Training,Stylis...more",asian,870,8.4,4.1,26869
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm37c375a7967d6?pid=SHOH6J5VUQC7Q4WM&lid=LSTSHOH6J5VUQC7Q4WMTT1BNK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=6d6de709-55a6-41bc-9eb4-9ecde169ed9e.SHOH6J5VUQC7Q4WM.SEARCH&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,Footox Trendy Sports Running Shoes For Women,Footox,297,0.07,3.7,2603
